name,live_time
dqn4_model_1.pth,10017
dqn4_model_100.pth,14610
dqn4_model_1000.pth,14173
dqn4_model_1100.pth,37194
dqn4_model_200.pth,31568
dqn4_model_300.pth,22971
dqn4_model_400.pth,17914
dqn4_model_500.pth,16433
dqn4_model_600.pth,14592
dqn4_model_700.pth,14993
dqn4_model_800.pth,34499
dqn4_model_900.pth,32544
dqn4_model_nr1010_100.pth,30514
dqn4_model_nr1010_1000.pth,29049
dqn4_model_nr1010_1100.pth,33806
dqn4_model_nr1010_1200.pth,16448
dqn4_model_nr1010_1300.pth,24859
dqn4_model_nr1010_1400.pth,16587
dqn4_model_nr1010_1500.pth,13753
dqn4_model_nr1010_1600.pth,39551
dqn4_model_nr1010_1700.pth,24031
dqn4_model_nr1010_1800.pth,11481
dqn4_model_nr1010_1900.pth,16992
dqn4_model_nr1010_200.pth,10362
dqn4_model_nr1010_2000.pth,16268
dqn4_model_nr1010_2100.pth,21484
dqn4_model_nr1010_2200.pth,17350
dqn4_model_nr1010_2300.pth,36034
dqn4_model_nr1010_2400.pth,25986
dqn4_model_nr1010_2500.pth,30973
dqn4_model_nr1010_2600.pth,43362
dqn4_model_nr1010_2700.pth,30436
dqn4_model_nr1010_2800.pth,20919
dqn4_model_nr1010_2900.pth,16736
dqn4_model_nr1010_300.pth,23428
dqn4_model_nr1010_3000.pth,21732
dqn4_model_nr1010_400.pth,32135
dqn4_model_nr1010_500.pth,26287
dqn4_model_nr1010_600.pth,30477
dqn4_model_nr1010_700.pth,35839
dqn4_model_nr1010_800.pth,27846
dqn4_model_nr1010_900.pth,30630
dqn4_model_nr1121_100.pth,39753
dqn4_model_nr1121_1000.pth,10662
dqn4_model_nr1121_1100.pth,14714
dqn4_model_nr1121_1200.pth,21139
dqn4_model_nr1121_1300.pth,3559
dqn4_model_nr1121_1400.pth,2648
dqn4_model_nr1121_1500.pth,1920
dqn4_model_nr1121_1600.pth,1676
dqn4_model_nr1121_1700.pth,1782
dqn4_model_nr1121_1800.pth,1873
dqn4_model_nr1121_1900.pth,1974
dqn4_model_nr1121_200.pth,30160
dqn4_model_nr1121_2000.pth,1909
dqn4_model_nr1121_2100.pth,2303
dqn4_model_nr1121_2200.pth,2327
dqn4_model_nr1121_2300.pth,2702
dqn4_model_nr1121_2400.pth,8582
dqn4_model_nr1121_2500.pth,3198
dqn4_model_nr1121_2600.pth,3571
dqn4_model_nr1121_2700.pth,3742
dqn4_model_nr1121_2800.pth,10695
dqn4_model_nr1121_2900.pth,34168
dqn4_model_nr1121_300.pth,30337
dqn4_model_nr1121_3000.pth,17047
dqn4_model_nr1121_400.pth,22030
dqn4_model_nr1121_500.pth,39004
dqn4_model_nr1121_600.pth,32101
dqn4_model_nr1121_700.pth,38537
dqn4_model_nr1121_800.pth,37204
dqn4_model_nr1121_900.pth,5192
dqn4_model_nr1131_1200.pth,22495
dqn4_model_nr1131_1300.pth,31234
dqn4_model_nr1131_1400.pth,19722
dqn4_model_nr1131_1500.pth,28370
dqn4_model_nr1131_1600.pth,33344
dqn4_model_nr1131_1700.pth,33940
dqn4_model_nr1131_1800.pth,35235
dqn4_model_nr1131_1900.pth,50000
dqn4_model_nr1131_2000.pth,19695
dqn4_model_nr1131_2100.pth,27491
dqn4_model_nr1131_2200.pth,22421
dqn4_model_nr1131_2300.pth,37872
dqn4_model_nr1131_2400.pth,32745
dqn4_model_nr1131_2500.pth,16754
dqn4_model_nr1131_2600.pth,26744
dqn4_model_nr1131_2700.pth,18596
dqn4_model_nr1131_2800.pth,37536
dqn4_model_nr1131_2900.pth,14284
dqn4_model_nr1131_3000.pth,14042
dqn4_model_nr1131_3100.pth,13806
dqn4_model_nr1131_3200.pth,34013
dqn4_model_nr1131_3300.pth,33056
dqn4_model_nr1131_3400.pth,35610
dqn4_model_nr1131_3500.pth,6921
dqn4_model_nr1131_3600.pth,19444
dqn4_model_nr1131_3700.pth,30730
dqn4_model_nr1131_3800.pth,18213
dqn4_model_nr1131_3900.pth,10669
dqn4_model_nr1131_4000.pth,3573
dqn4_model_nr1131_4100.pth,4352
dqn4_model_nr_1200.pth,31638
dqn4_model_nr_1300.pth,12132
dqn4_model_nr_1400.pth,27587
dqn4_model_nr_1500.pth,28578
dqn4_model_nr_1600.pth,46127
dqn4_model_nr_1700.pth,34891
dqn4_model_nr_1800.pth,15793
dqn4_model_nr_1900.pth,29188
dqn4_model_nr_2000.pth,41990
dqn4_model_nr_2100.pth,27233
dqn4_model_nr_2200.pth,35541
dqn4_model_nr_2300.pth,18795
dqn4_model_nr_2400.pth,50000
dqn4_model_nr_2500.pth,34431
dqn4_model_nr_2600.pth,24703
dqn4_model_nr_2700.pth,37105
dqn4_model_nr_2800.pth,36851
dqn4_model_nr_2900.pth,31729
dqn4_model_nr_3000.pth,44770
dqn4_model_nr_3100.pth,27115
dqn4_model_nr_3200.pth,32803
dqn4_model_nr_3300.pth,35287
dqn4_model_nr_3400.pth,24150
dqn4_model_nr_3500.pth,39520
dqn4_model_nr_3600.pth,29782
dqn4_model_nr_3700.pth,36445
dqn4_model_nr_3800.pth,26299
dqn4_model_nr_3900.pth,16752
dqn4_model_nr_4000.pth,34566
dqn4_model_nr_4100.pth,12713
